COD_BARRAS,DESCRICAO,ESFERIC,CILIND,ADICAO,OLHO
5658890610,Lente Vis Simples 1.50 c/A.R.,"0,00","0,00","0,00",
5658890784,Lente Vis Simples 1.50 c/A.R.,"-0,25","0,00","0,00",
5658890792,Lente Vis Simples 1.50 c/A.R.,"-0,50","0,00","0,00",
5658890800,Lente Vis Simples 1.50 c/A.R.,"-0,75","0,00","0,00",
5658890818,Lente Vis Simples 1.50 c/A.R.,"-1,00","0,00","0,00",
5658890826,Lente Vis Simples 1.50 c/A.R.,"-1,25","0,00","0,00",
5658890834,Lente Vis Simples 1.50 c/A.R.,"-1,50","0,00","0,00",
5658890842,Lente Vis Simples 1.50 c/A.R.,"-1,75","0,00","0,00",
5658890859,Lente Vis Simples 1.50 c/A.R.,"-2,00","0,00","0,00",
5658890867,Lente Vis Simples 1.50 c/A.R.,"-2,25","0,00","0,00",
5658890875,Lente Vis Simples 1.50 c/A.R.,"-2,50","0,00","0,00",
5658890883,Lente Vis Simples 1.50 c/A.R.,"-2,75","0,00","0,00",
5658890891,Lente Vis Simples 1.50 c/A.R.,"-3,00","0,00","0,00",
5658890909,Lente Vis Simples 1.50 c/A.R.,"-3,25","0,00","0,00",
5658890917,Lente Vis Simples 1.50 c/A.R.,"-3,50","0,00","0,00",
5658890925,Lente Vis Simples 1.50 c/A.R.,"-3,75","0,00","0,00",
5658890933,Lente Vis Simples 1.50 c/A.R.,"-4,00","0,00","0,00",
5658891022,Lente Vis Simples 1.50 c/A.R.,"0,00","-0,25","0,00",
5658892384,Lente Vis Simples 1.50 c/A.R.,"-0,25","-0,25","0,00",
5658892467,Lente Vis Simples 1.50 c/A.R.,"-0,50","-0,25","0,00",
5658892541,Lente Vis Simples 1.50 c/A.R.,"-0,75","-0,25","0,00",
5658892624,Lente Vis Simples 1.50 c/A.R.,"-1,00","-0,25","0,00",
5658892707,Lente Vis Simples 1.50 c/A.R.,"-1,25","-0,25","0,00",
5658892780,Lente Vis Simples 1.50 c/A.R.,"-1,50","-0,25","0,00",
5658892863,Lente Vis Simples 1.50 c/A.R.,"-1,75","-0,25","0,00",
5658892947,Lente Vis Simples 1.50 c/A.R.,"-2,00","-0,25","0,00",
5658893028,Lente Vis Simples 1.50 c/A.R.,"-2,25","-0,25","0,00",
5658893101,Lente Vis Simples 1.50 c/A.R.,"-2,50","-0,25","0,00",
5658893184,Lente Vis Simples 1.50 c/A.R.,"-2,75","-0,25","0,00",
5658893267,Lente Vis Simples 1.50 c/A.R.,"-3,00","-0,25","0,00",
5658893341,Lente Vis Simples 1.50 c/A.R.,"-3,25","-0,25","0,00",
5658893424,Lente Vis Simples 1.50 c/A.R.,"-3,50","-0,25","0,00",
5658893507,Lente Vis Simples 1.50 c/A.R.,"-3,75","-0,25","0,00",
5658893580,Lente Vis Simples 1.50 c/A.R.,"-4,00","-0,25","0,00",
5658891030,Lente Vis Simples 1.50 c/A.R.,"0,00","-0,50","0,00",
5658892392,Lente Vis Simples 1.50 c/A.R.,"-0,25","-0,50","0,00",
5658892475,Lente Vis Simples 1.50 c/A.R.,"-0,50","-0,50","0,00",
5658892558,Lente Vis Simples 1.50 c/A.R.,"-0,75","-0,50","0,00",
5658892632,Lente Vis Simples 1.50 c/A.R.,"-1,00","-0,50","0,00",
5658892715,Lente Vis Simples 1.50 c/A.R.,"-1,25","-0,50","0,00",
5658892798,Lente Vis Simples 1.50 c/A.R.,"-1,50","-0,50","0,00",
5658892871,Lente Vis Simples 1.50 c/A.R.,"-1,75","-0,50","0,00",
5658892954,Lente Vis Simples 1.50 c/A.R.,"-2,00","-0,50","0,00",
5658893036,Lente Vis Simples 1.50 c/A.R.,"-2,25","-0,50","0,00",
5658893119,Lente Vis Simples 1.50 c/A.R.,"-2,50","-0,50","0,00",
5658893192,Lente Vis Simples 1.50 c/A.R.,"-2,75","-0,50","0,00",
5658893275,Lente Vis Simples 1.50 c/A.R.,"-3,00","-0,50","0,00",
5658893358,Lente Vis Simples 1.50 c/A.R.,"-3,25","-0,50","0,00",
5658893432,Lente Vis Simples 1.50 c/A.R.,"-3,50","-0,50","0,00",
5658893515,Lente Vis Simples 1.50 c/A.R.,"-3,75","-0,50","0,00",
5658893598,Lente Vis Simples 1.50 c/A.R.,"-4,00","-0,50","0,00",
5658891048,Lente Vis Simples 1.50 c/A.R.,"0,00","-0,75","0,00",
5658892400,Lente Vis Simples 1.50 c/A.R.,"-0,25","-0,75","0,00",
5658892483,Lente Vis Simples 1.50 c/A.R.,"-0,50","-0,75","0,00",
5658892566,Lente Vis Simples 1.50 c/A.R.,"-0,75","-0,75","0,00",
5658892640,Lente Vis Simples 1.50 c/A.R.,"-1,00","-0,75","0,00",
5658892723,Lente Vis Simples 1.50 c/A.R.,"-1,25","-0,75","0,00",
5658892806,Lente Vis Simples 1.50 c/A.R.,"-1,50","-0,75","0,00",
5658892889,Lente Vis Simples 1.50 c/A.R.,"-1,75","-0,75","0,00",
5658892962,Lente Vis Simples 1.50 c/A.R.,"-2,00","-0,75","0,00",
5658893044,Lente Vis Simples 1.50 c/A.R.,"-2,25","-0,75","0,00",
5658893127,Lente Vis Simples 1.50 c/A.R.,"-2,50","-0,75","0,00",
5658893200,Lente Vis Simples 1.50 c/A.R.,"-2,75","-0,75","0,00",
5658893283,Lente Vis Simples 1.50 c/A.R.,"-3,00","-0,75","0,00",
5658893366,Lente Vis Simples 1.50 c/A.R.,"-3,25","-0,75","0,00",
